codeDepot,codeArticle,mois,quantitePrevue
CLR-CEN-1190,SF-F-684-ELIO-HUILE1L001,2025-07-01,2164
CLR-CEN-1190,SF-F-684-ELIO-HUILE1L001,2025-08-01,2164
CLR-CEN-1190,SF-F-684-ELIO-HUILE1L001,2025-09-01,2164
CLR-CEN-1190,SF-F-684-ELIO-HUILE2L001,2025-07-01,2376
CLR-CEN-1190,SF-F-684-ELIO-HUILE2L001,2025-08-01,2376
CLR-CEN-1190,SF-F-684-ELIO-HUILE2L001,2025-09-01,2376
CLR-CEN-1190,"SF-F-762-LALAKHEDIJA-EAUGAZEUX1,5L001",2025-07-01,2344
CLR-CEN-1190,"SF-F-762-LALAKHEDIJA-EAUGAZEUX1,5L001",2025-08-01,2344
CLR-CEN-1190,"SF-F-762-LALAKHEDIJA-EAUGAZEUX1,5L001",2025-09-01,2344
CLR-CEN-1190,SF-F-762-LALAKHEDIJA-EAUGAZEUX33CL001,2025-07-01,2350
CLR-CEN-1190,SF-F-762-LALAKHEDIJA-EAUGAZEUX33CL001,2025-08-01,2350
CLR-CEN-1190,SF-F-762-LALAKHEDIJA-EAUGAZEUX33CL001,2025-09-01,2350
CLR-CEN-1190,"SF-F-762-LALAKHEDIJA-EAUMINIRALLE1,5L001",2025-07-01,2264
CLR-CEN-1190,"SF-F-762-LALAKHEDIJA-EAUMINIRALLE1,5L001",2025-08-01,2264
CLR-CEN-1190,"SF-F-762-LALAKHEDIJA-EAUMINIRALLE1,5L001",2025-09-01,2264
CLR-CEN-1190,SF-F-762-LALAKHEDIJA-EAUMINIRALLE33CL001,2025-07-01,2268
CLR-CEN-1190,SF-F-762-LALAKHEDIJA-EAUMINIRALLE33CL001,2025-08-01,2268
CLR-CEN-1190,SF-F-762-LALAKHEDIJA-EAUMINIRALLE33CL001,2025-09-01,2268
CLR-CEN-1190,SF-F-762-LALAKHEDIJA-EAUMINIRALLE5L001,2025-07-01,1978
CLR-CEN-1190,SF-F-762-LALAKHEDIJA-EAUMINIRALLE5L001,2025-08-01,1978
CLR-CEN-1190,SF-F-762-LALAKHEDIJA-EAUMINIRALLE5L001,2025-09-01,1978
CLR-EST-5247,SF-F-684-ELIO-HUILE1L001,2025-07-01,1190
CLR-EST-5247,SF-F-684-ELIO-HUILE1L001,2025-08-01,1190
CLR-EST-5247,SF-F-684-ELIO-HUILE1L001,2025-09-01,1190
CLR-EST-5247,SF-F-684-ELIO-HUILE2L001,2025-07-01,904
CLR-EST-5247,SF-F-684-ELIO-HUILE2L001,2025-08-01,904
CLR-EST-5247,SF-F-684-ELIO-HUILE2L001,2025-09-01,904
CLR-EST-5247,"SF-F-762-LALAKHEDIJA-EAUGAZEUX1,5L001",2025-07-01,1346
CLR-EST-5247,"SF-F-762-LALAKHEDIJA-EAUGAZEUX1,5L001",2025-08-01,1346
CLR-EST-5247,"SF-F-762-LALAKHEDIJA-EAUGAZEUX1,5L001",2025-09-01,1346
CLR-EST-5247,SF-F-762-LALAKHEDIJA-EAUGAZEUX33CL001,2025-07-01,1228
CLR-EST-5247,SF-F-762-LALAKHEDIJA-EAUGAZEUX33CL001,2025-08-01,1228
CLR-EST-5247,SF-F-762-LALAKHEDIJA-EAUGAZEUX33CL001,2025-09-01,1228
CLR-EST-5247,"SF-F-762-LALAKHEDIJA-EAUMINIRALLE1,5L001",2025-07-01,1164
CLR-EST-5247,"SF-F-762-LALAKHEDIJA-EAUMINIRALLE1,5L001",2025-08-01,1164
